escu_detection,mitre_attack
"ESCU - ASL AWS EC2 Snapshot Shared Externally - Rule","T1537"
"ESCU - ASL AWS ECR Container Upload Outside Business Hours - Rule","T1204.003"
"ESCU - ASL AWS ECR Container Upload Unknown User - Rule","T1204.003"
"ESCU - ASL AWS IAM AccessDenied Discovery Events - Rule","T1580"
"ESCU - ASL AWS IAM Assume Role Policy Brute Force - Rule","T1110|T1580"
"ESCU - ASL AWS IAM Delete Policy - Rule","T1098"
"ESCU - ASL AWS IAM Failure Group Deletion - Rule","T1098"
"ESCU - ASL AWS IAM Successful Group Deletion - Rule","T1069.003|T1098"
"ESCU - ASL AWS Multi-Factor Authentication Disabled - Rule","T1556.006|T1586.003|T1621"
"ESCU - ASL AWS Network Access Control List Created with All Open Ports - Rule","T1562.007"
"ESCU - ASL AWS Network Access Control List Deleted - Rule","T1562.007"
"ESCU - ASL AWS New MFA Method Registered For User - Rule","T1556.006"
"ESCU - ASL AWS SAML Update identity provider - Rule","T1078"
"ESCU - ASL AWS UpdateLoginProfile - Rule","T1136.003"
"ESCU - AWS AMI Attribute Modification for Exfiltration - Rule","T1537"
"ESCU - AWS Bedrock Delete GuardRails - Rule","T1562.008"
"ESCU - AWS Bedrock Delete Knowledge Base - Rule","T1485"
"ESCU - AWS Bedrock Delete Model Invocation Logging Configuration - Rule","T1562.008"
"ESCU - AWS Bedrock High Number List Foundation Model Failures - Rule","T1580"
"ESCU - AWS Bedrock Invoke Model Access Denied - Rule","T1078|T1550"
"ESCU - AWS Concurrent Sessions From Different Ips - Rule","T1185"
"ESCU - AWS Console Login Failed During MFA Challenge - Rule","T1586.003|T1621"
"ESCU - AWS Create Policy Version to allow all resources - Rule","T1078.004"
"ESCU - AWS CreateAccessKey - Rule","T1136.003"
"ESCU - AWS CreateLoginProfile - Rule","T1136.003"
"ESCU - AWS Credential Access Failed Login - Rule","T1110.001|T1586.003"
"ESCU - AWS Credential Access GetPasswordData - Rule","T1110.001|T1586.003"
"ESCU - AWS Credential Access RDS Password reset - Rule","T1110|T1586.003"
"ESCU - AWS Defense Evasion Delete Cloudtrail - Rule","T1562.008"
"ESCU - AWS Defense Evasion Delete CloudWatch Log Group - Rule","T1562.008"
"ESCU - AWS Defense Evasion Impair Security Services - Rule","T1562.008"
"ESCU - AWS Defense Evasion PutBucketLifecycle - Rule","T1485.001|T1562.008"
"ESCU - AWS Defense Evasion Stop Logging Cloudtrail - Rule","T1562.008"
"ESCU - AWS Defense Evasion Update Cloudtrail - Rule","T1562.008"
"ESCU - AWS Detect Users creating keys with encrypt policy without MFA - Rule","T1486"
"ESCU - AWS Detect Users with KMS keys performing encryption S3 - Rule","T1486"
"ESCU - AWS Disable Bucket Versioning - Rule","T1490"
"ESCU - AWS EC2 Snapshot Shared Externally - Rule","T1537"
"ESCU - AWS ECR Container Scanning Findings High - Rule","T1204.003"
"ESCU - AWS ECR Container Scanning Findings Low Informational Unknown - Rule","T1204.003"
"ESCU - AWS ECR Container Scanning Findings Medium - Rule","T1204.003"
"ESCU - AWS ECR Container Upload Outside Business Hours - Rule","T1204.003"
"ESCU - AWS ECR Container Upload Unknown User - Rule","T1204.003"
"ESCU - AWS Excessive Security Scanning - Rule","T1526"
"ESCU - AWS Exfiltration via Anomalous GetObject API Activity - Rule","T1119"
"ESCU - AWS Exfiltration via Batch Service - Rule","T1119"
"ESCU - AWS Exfiltration via Bucket Replication - Rule","T1537"
"ESCU - AWS Exfiltration via DataSync Task - Rule","T1119"
"ESCU - AWS Exfiltration via EC2 Snapshot - Rule","T1537"
"ESCU - AWS High Number Of Failed Authentications For User - Rule","T1201"
"ESCU - AWS High Number Of Failed Authentications From Ip - Rule","T1110.003|T1110.004"
"ESCU - AWS IAM AccessDenied Discovery Events - Rule","T1580"
"ESCU - AWS IAM Assume Role Policy Brute Force - Rule","T1110|T1580"
"ESCU - AWS IAM Delete Policy - Rule","T1098"
"ESCU - AWS IAM Failure Group Deletion - Rule","T1098"
"ESCU - AWS IAM Successful Group Deletion - Rule","T1069.003|T1098"
"ESCU - AWS Lambda UpdateFunctionCode - Rule","T1204"
"ESCU - AWS Multi-Factor Authentication Disabled - Rule","T1556.006|T1586.003|T1621"
"ESCU - AWS Multiple Failed MFA Requests For User - Rule","T1586.003|T1621"
"ESCU - AWS Multiple Users Failing To Authenticate From Ip - Rule","T1110.003|T1110.004"
"ESCU - AWS Network Access Control List Created with All Open Ports - Rule","T1562.007"
"ESCU - AWS Network Access Control List Deleted - Rule","T1562.007"
"ESCU - AWS New MFA Method Registered For User - Rule","T1556.006"
"ESCU - AWS Password Policy Changes - Rule","T1201"
"ESCU - AWS S3 Exfiltration Behavior Identified - Rule","T1537"
"ESCU - AWS SAML Update identity provider - Rule","T1078"
"ESCU - AWS SetDefaultPolicyVersion - Rule","T1078.004"
"ESCU - AWS Successful Console Authentication From Multiple IPs - Rule","T1535|T1586"
"ESCU - AWS Successful Single-Factor Authentication - Rule","T1078.004|T1586.003"
"ESCU - AWS Unusual Number of Failed Authentications From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - AWS UpdateLoginProfile - Rule","T1136.003"
"ESCU - Azure Active Directory High Risk Sign-in - Rule","T1110.003|T1586.003"
"ESCU - Azure AD Admin Consent Bypassed by Service Principal - Rule","T1098.003"
"ESCU - Azure AD Application Administrator Role Assigned - Rule","T1098.003"
"ESCU - Azure AD Authentication Failed During MFA Challenge - Rule","T1078.004|T1586.003|T1621"
"ESCU - Azure AD AzureHound UserAgent Detected - Rule","T1087.004|T1526"
"ESCU - Azure AD Block User Consent For Risky Apps Disabled - Rule","T1562"
"ESCU - Azure AD Concurrent Sessions From Different Ips - Rule","T1185"
"ESCU - Azure AD Device Code Authentication - Rule","T1528|T1566.002"
"ESCU - Azure AD External Guest User Invited - Rule","T1136.003"
"ESCU - Azure AD FullAccessAsApp Permission Assigned - Rule","T1098.002|T1098.003"
"ESCU - Azure AD Global Administrator Role Assigned - Rule","T1098.003"
"ESCU - Azure AD High Number Of Failed Authentications For User - Rule","T1110.001"
"ESCU - Azure AD High Number Of Failed Authentications From Ip - Rule","T1110.001|T1110.003"
"ESCU - Azure AD Multi-Factor Authentication Disabled - Rule","T1556.006|T1586.003"
"ESCU - Azure AD Multi-Source Failed Authentications Spike - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - Azure AD Multiple AppIDs and UserAgents Authentication Spike - Rule","T1078"
"ESCU - Azure AD Multiple Denied MFA Requests For User - Rule","T1621"
"ESCU - Azure AD Multiple Failed MFA Requests For User - Rule","T1078.004|T1586.003|T1621"
"ESCU - Azure AD Multiple Service Principals Created by SP - Rule","T1136.003"
"ESCU - Azure AD Multiple Service Principals Created by User - Rule","T1136.003"
"ESCU - Azure AD Multiple Users Failing To Authenticate From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - Azure AD New Custom Domain Added - Rule","T1484.002"
"ESCU - Azure AD New Federated Domain Added - Rule","T1484.002"
"ESCU - Azure AD New MFA Method Registered - Rule","T1098.005"
"ESCU - Azure AD New MFA Method Registered For User - Rule","T1556.006"
"ESCU - Azure AD OAuth Application Consent Granted By User - Rule","T1528"
"ESCU - Azure AD PIM Role Assigned - Rule","T1098.003"
"ESCU - Azure AD PIM Role Assignment Activated - Rule","T1098.003"
"ESCU - Azure AD Privileged Authentication Administrator Role Assigned - Rule","T1003.002"
"ESCU - Azure AD Privileged Graph API Permission Assigned - Rule","T1003.002"
"ESCU - Azure AD Privileged Role Assigned - Rule","T1098.003"
"ESCU - Azure AD Privileged Role Assigned to Service Principal - Rule","T1098.003"
"ESCU - Azure AD Service Principal Authentication - Rule","T1078.004"
"ESCU - Azure AD Service Principal Created - Rule","T1136.003"
"ESCU - Azure AD Service Principal Enumeration - Rule","T1087.004|T1526"
"ESCU - Azure AD Service Principal New Client Credentials - Rule","T1098.001"
"ESCU - Azure AD Service Principal Owner Added - Rule","T1098"
"ESCU - Azure AD Service Principal Privilege Escalation - Rule","T1098.003"
"ESCU - Azure AD Successful Authentication From Different Ips - Rule","T1110.001|T1110.003"
"ESCU - Azure AD Successful PowerShell Authentication - Rule","T1078.004|T1586.003"
"ESCU - Azure AD Successful Single-Factor Authentication - Rule","T1078.004|T1586.003"
"ESCU - Azure AD Tenant Wide Admin Consent Granted - Rule","T1098.003"
"ESCU - Azure AD Unusual Number of Failed Authentications From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - Azure AD User Consent Blocked for Risky Application - Rule","T1528"
"ESCU - Azure AD User Consent Denied for OAuth Application - Rule","T1528"
"ESCU - Azure AD User Enabled And Password Reset - Rule","T1098"
"ESCU - Azure AD User ImmutableId Attribute Updated - Rule","T1098"
"ESCU - Azure Automation Account Created - Rule","T1136.003"
"ESCU - Azure Automation Runbook Created - Rule","T1136.003"
"ESCU - Azure Runbook Webhook Created - Rule","T1078.004"
"ESCU - Circle CI Disable Security Job - Rule","T1554"
"ESCU - Circle CI Disable Security Step - Rule","T1554"
"ESCU - Cloud API Calls From Previously Unseen User Roles - Rule","T1078"
"ESCU - Cloud Compute Instance Created By Previously Unseen User - Rule","T1078.004"
"ESCU - Cloud Compute Instance Created In Previously Unused Region - Rule","T1535"
"ESCU - Cloud Instance Modified By Previously Unseen User - Rule","T1078.004"
"ESCU - Cloud Provisioning Activity From Previously Unseen City - Rule","T1078"
"ESCU - Cloud Provisioning Activity From Previously Unseen Country - Rule","T1078"
"ESCU - Cloud Provisioning Activity From Previously Unseen IP Address - Rule","T1078"
"ESCU - Cloud Provisioning Activity From Previously Unseen Region - Rule","T1078"
"ESCU - Cloud Security Groups Modifications by User - Rule","T1578.005"
"ESCU - Detect AWS Console Login by New User - Rule","T1552|T1586.003"
"ESCU - Detect AWS Console Login by User from New City - Rule","T1535|T1586.003"
"ESCU - Detect AWS Console Login by User from New Country - Rule","T1535|T1586.003"
"ESCU - Detect AWS Console Login by User from New Region - Rule","T1535|T1586.003"
"ESCU - Detect GCP Storage access from a new IP - Rule","T1530"
"ESCU - Detect New Open GCP Storage Buckets - Rule","T1530"
"ESCU - Detect New Open S3 buckets - Rule","T1530"
"ESCU - Detect New Open S3 Buckets over AWS CLI - Rule","T1530"
"ESCU - Detect S3 access from a new IP - Rule","T1530"
"ESCU - Detect Spike in S3 Bucket deletion - Rule","T1530"
"ESCU - GCP Authentication Failed During MFA Challenge - Rule","T1078.004|T1586.003|T1621"
"ESCU - GCP Detect gcploit framework - Rule","T1078"
"ESCU - GCP Kubernetes cluster pod scan detection - Rule","T1526"
"ESCU - GCP Multi-Factor Authentication Disabled - Rule","T1556.006|T1586.003"
"ESCU - GCP Multiple Failed MFA Requests For User - Rule","T1078.004|T1586.003|T1621"
"ESCU - GCP Multiple Users Failing To Authenticate From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - GCP Successful Single-Factor Authentication - Rule","T1078.004|T1586.003"
"ESCU - GCP Unusual Number of Failed Authentications From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - Gdrive suspicious file sharing - Rule","T1566"
"ESCU - Geographic Improbable Location - Rule","T1078"
"ESCU - GitHub Enterprise Delete Branch Ruleset - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Disable 2FA Requirement - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Disable Audit Log Event Stream - Rule","T1195|T1562.008"
"ESCU - GitHub Enterprise Disable Classic Branch Protection Rule - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Disable Dependabot - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Disable IP Allow List - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Modify Audit Log Event Stream - Rule","T1195|T1562.008"
"ESCU - GitHub Enterprise Pause Audit Log Event Stream - Rule","T1195|T1562.008"
"ESCU - GitHub Enterprise Register Self Hosted Runner - Rule","T1195|T1562.001"
"ESCU - GitHub Enterprise Remove Organization - Rule","T1195|T1485"
"ESCU - GitHub Enterprise Repository Archived - Rule","T1195|T1485"
"ESCU - GitHub Enterprise Repository Deleted - Rule","T1195|T1485"
"ESCU - GitHub Organizations Delete Branch Ruleset - Rule","T1195|T1562.001"
"ESCU - GitHub Organizations Disable 2FA Requirement - Rule","T1195|T1562.001"
"ESCU - GitHub Organizations Disable Classic Branch Protection Rule - Rule","T1195|T1562.001"
"ESCU - GitHub Organizations Disable Dependabot - Rule","T1195|T1562.001"
"ESCU - GitHub Organizations Repository Archived - Rule","T1195|T1485"
"ESCU - GitHub Organizations Repository Deleted - Rule","T1195|T1485"
"ESCU - Gsuite Drive Share In External Email - Rule","T1567.002"
"ESCU - GSuite Email Suspicious Attachment - Rule","T1566.001"
"ESCU - Gsuite Email Suspicious Subject With Attachment - Rule","T1566.001"
"ESCU - Gsuite Email With Known Abuse Web Service Link - Rule","T1566.001"
"ESCU - Gsuite Outbound Email With Attachment To External Domain - Rule","T1048.003"
"ESCU - Gsuite suspicious calendar invite - Rule","T1566"
"ESCU - Gsuite Suspicious Shared File Name - Rule","T1566.001"
"ESCU - High Number of Login Failures from a single source - Rule","T1110.001"
"ESCU - Kubernetes Abuse of Secret by Unusual Location - Rule","T1552.007"
"ESCU - Kubernetes Abuse of Secret by Unusual User Agent - Rule","T1552.007"
"ESCU - Kubernetes Abuse of Secret by Unusual User Group - Rule","T1552.007"
"ESCU - Kubernetes Abuse of Secret by Unusual User Name - Rule","T1552.007"
"ESCU - Kubernetes Access Scanning - Rule","T1046"
"ESCU - Kubernetes Anomalous Inbound Network Activity from Process - Rule","T1204"
"ESCU - Kubernetes Anomalous Inbound Outbound Network IO - Rule","T1204"
"ESCU - Kubernetes Anomalous Inbound to Outbound Network IO Ratio - Rule","T1204"
"ESCU - Kubernetes Anomalous Outbound Network Activity from Process - Rule","T1204"
"ESCU - Kubernetes Anomalous Traffic on Network Edge - Rule","T1204"
"ESCU - Kubernetes Create or Update Privileged Pod - Rule","T1204"
"ESCU - Kubernetes Cron Job Creation - Rule","T1053.007"
"ESCU - Kubernetes DaemonSet Deployed - Rule","T1204"
"ESCU - Kubernetes Falco Shell Spawned - Rule","T1204"
"ESCU - Kubernetes newly seen TCP edge - Rule","T1204"
"ESCU - Kubernetes newly seen UDP edge - Rule","T1204"
"ESCU - Kubernetes Nginx Ingress LFI - Rule","T1212"
"ESCU - Kubernetes Nginx Ingress RFI - Rule","T1212"
"ESCU - Kubernetes Node Port Creation - Rule","T1204"
"ESCU - Kubernetes Pod Created in Default Namespace - Rule","T1204"
"ESCU - Kubernetes Pod With Host Network Attachment - Rule","T1204"
"ESCU - Kubernetes Previously Unseen Container Image Name - Rule","T1204"
"ESCU - Kubernetes Previously Unseen Process - Rule","T1204"
"ESCU - Kubernetes Process Running From New Path - Rule","T1204"
"ESCU - Kubernetes Process with Anomalous Resource Utilisation - Rule","T1204"
"ESCU - Kubernetes Process with Resource Ratio Anomalies - Rule","T1204"
"ESCU - Kubernetes Scanner Image Pulling - Rule","T1526"
"ESCU - Kubernetes Scanning by Unauthenticated IP Address - Rule","T1046"
"ESCU - Kubernetes Shell Running on Worker Node - Rule","T1204"
"ESCU - Kubernetes Shell Running on Worker Node with CPU Activity - Rule","T1204"
"ESCU - Kubernetes Suspicious Image Pulling - Rule","T1526"
"ESCU - Kubernetes Unauthorized Access - Rule","T1204"
"ESCU - Microsoft Intune Device Health Scripts - Rule","T1021.007|T1072|T1105|T1202"
"ESCU - Microsoft Intune DeviceManagementConfigurationPolicies - Rule","T1021.007|T1072|T1484|T1562.001|T1562.004"
"ESCU - Microsoft Intune Manual Device Management - Rule","T1021.007|T1072|T1529"
"ESCU - Microsoft Intune Mobile Apps - Rule","T1021.007|T1072|T1105|T1202"
"ESCU - O365 Add App Role Assignment Grant User - Rule","T1136.003"
"ESCU - O365 Added Service Principal - Rule","T1136.003"
"ESCU - O365 Admin Consent Bypassed by Service Principal - Rule","T1098.003"
"ESCU - O365 Advanced Audit Disabled - Rule","T1562.008"
"ESCU - O365 Application Available To Other Tenants - Rule","T1098.003"
"ESCU - O365 Application Registration Owner Added - Rule","T1098"
"ESCU - O365 ApplicationImpersonation Role Assigned - Rule","T1098.002"
"ESCU - O365 BEC Email Hiding Rule Created - Rule","T1564.008"
"ESCU - O365 Block User Consent For Risky Apps Disabled - Rule","T1562"
"ESCU - O365 Bypass MFA via Trusted IP - Rule","T1562.007"
"ESCU - O365 Compliance Content Search Exported - Rule","T1114.002"
"ESCU - O365 Compliance Content Search Started - Rule","T1114.002"
"ESCU - O365 Concurrent Sessions From Different Ips - Rule","T1185"
"ESCU - O365 Cross-Tenant Access Change - Rule","T1484.002"
"ESCU - O365 Disable MFA - Rule","T1556"
"ESCU - O365 DLP Rule Triggered - Rule","T1048|T1567"
"ESCU - O365 Elevated Mailbox Permission Assigned - Rule","T1098.002"
"ESCU - O365 Email Access By Security Administrator - Rule","T1114.002|T1567"
"ESCU - O365 Email Hard Delete Excessive Volume - Rule","T1070.008|T1485"
"ESCU - O365 Email New Inbox Rule Created - Rule","T1114.003|T1564.008"
"ESCU - O365 Email Password and Payroll Compromise Behavior - Rule","T1070.008|T1114.001|T1485"
"ESCU - O365 Email Receive and Hard Delete Takeover Behavior - Rule","T1070.008|T1114.001|T1485"
"ESCU - O365 Email Reported By Admin Found Malicious - Rule","T1566.001|T1566.002"
"ESCU - O365 Email Reported By User Found Malicious - Rule","T1566.001|T1566.002"
"ESCU - O365 Email Security Feature Changed - Rule","T1562.001|T1562.008"
"ESCU - O365 Email Send and Hard Delete Exfiltration Behavior - Rule","T1070.008|T1114.001|T1485"
"ESCU - O365 Email Send and Hard Delete Suspicious Behavior - Rule","T1070.008|T1114.001|T1485"
"ESCU - O365 Email Send Attachments Excessive Volume - Rule","T1070.008|T1485"
"ESCU - O365 Email Suspicious Behavior Alert - Rule","T1114.003"
"ESCU - O365 Email Suspicious Search Behavior - Rule","T1114.002|T1552"
"ESCU - O365 Email Transport Rule Changed - Rule","T1114.003|T1564.008"
"ESCU - O365 Excessive Authentication Failures Alert - Rule","T1110"
"ESCU - O365 Excessive SSO logon errors - Rule","T1556"
"ESCU - O365 Exfiltration via File Access - Rule","T1530|T1567"
"ESCU - O365 Exfiltration via File Download - Rule","T1530|T1567"
"ESCU - O365 Exfiltration via File Sync Download - Rule","T1530|T1567"
"ESCU - O365 External Guest User Invited - Rule","T1136.003"
"ESCU - O365 External Identity Policy Changed - Rule","T1136.003"
"ESCU - O365 File Permissioned Application Consent Granted by User - Rule","T1528"
"ESCU - O365 FullAccessAsApp Permission Assigned - Rule","T1098.002|T1098.003"
"ESCU - O365 High Number Of Failed Authentications for User - Rule","T1110.001"
"ESCU - O365 High Privilege Role Granted - Rule","T1098.003"
"ESCU - O365 Mail Permissioned Application Consent Granted by User - Rule","T1528"
"ESCU - O365 Mailbox Email Forwarding Enabled - Rule","T1114.003"
"ESCU - O365 Mailbox Folder Read Permission Assigned - Rule","T1098.002"
"ESCU - O365 Mailbox Folder Read Permission Granted - Rule","T1098.002"
"ESCU - O365 Mailbox Inbox Folder Shared with All Users - Rule","T1114.002"
"ESCU - O365 Mailbox Read Access Granted to Application - Rule","T1098.003|T1114.002"
"ESCU - O365 Multi-Source Failed Authentications Spike - Rule","T1110.003|T1110.004|T1586.003"
